ID,"First Name","Last Name","Company Name","Company Slug",Email,Overview,Phone,Website,"Number of Brands","Number of Products",City,State,Country,Facebook,Twitter,Instagram,Thumblr,Youtube,Googleplus,"Company Age","Allow Dropshipping",Tags,"Show Video"
112,Bohyme,Founder,Bohyme,bohyme,," Bohyme has innovated and cultured the hair industry for the past 35 years. Bohyme has followed lasting values such as quality and traditional workmanship. Its uncompromising demands on style, materials, and quality have been reflected in its products.
",2147483647,Www.bohyme.com,1,20,Niles,IL,"United States",,,,,,,0,No,,No
113,Kera,Care,"Kera care Natural Ntextures",kera-care-natural-ntextures,Wetgs@mjnc.com,"  Avlon Industries, Inc. is responsible for many of the most widely-used and efficacious professional hair care products on the market, including the well-known Affirm® Conditioning Relaxer System, FiberGuard® Conditioning Relaxer System, Ferm® permanent wave products, MoisturColor® professional hair color products. And KeraCare® Conditioning Hair Care System a range of maintenance & styling products that professional stylists and consumers love.",2147483647,Www.avlon.com,1,36,"Melrose park",IL,"United States",,,,,,,0,No,,No
114,"Affirm ","Hair care ","Affirm ",affirm,dfsdfsd,"      Avlon Industries, Inc. is responsible for many of the most widely-used and efficacious professional hair care products on the market, including the well-known Affirm® Conditioning Relaxer System, FiberGuard® Conditioning Relaxer System, Ferm® permanent wave products, MoisturColor® professional hair color products. And KeraCare® Conditioning Hair Care System a range of maintenance & styling products that professional stylists and consumers love.
",2147483647,http://www.avlon.com/affirm-products/,1,30,"Melrose Park ",IL,"United States",,,,,,,0,No,,No
115,Elasta,Qp,"Elasta QP",elasta-qp,,"   Elasta QP, one of Strength of Nature Global’s most popular brands, has a longstanding reputation for providing quality products at an affordable price point for women and men of color. In celebration of their 30-year anniversary, Elasta QP has revitalized the brand and will launch the Olive Oil & Mango Butter product line for consumers with natural or multi-textured hair. 
",2147483647,http://elastaqp.com/,1,35,"Savannah ",GA,"United States",,,,,,,0,No,,No
116,Morgan,Gantt,"Hair Library ",hair-library-2,Info@uhtgas.com,"Test ",2147483647,Www.lacewigbible.com,1,1,"New York",NY,"United States",,,,,,,0,No,,No
117,Cantu,Shea,"Cantu Shea Butter",cantu-shea-butter,,"      At Cantu we believe that you deserve more. We believe that the brands you buy and make up a part of your every day life should work as hard as you do. We believe that Cantu products should consistently help you showcase your true authentic beauty. We also believe that great performing (and smelling!) products should be affordable to all women. 
At Cantu we make high performance formulas always at a great price. We are working hard every day to help you look and smell your best. Tell us how we are doing. Only your opinion counts.",2147483647,Www.cantusheasoft.com,1,22,Dallas,NY,"United States",,,,,,,2004,No,,Yes
118,Lisa,Raye,"Lisa Raye Hair",lisa-raye-hair," Buy@lisarayehair.com","  Founded in 2011, Glamour by LisaRaye is purposed with inspiring, empowering and enabling the entrepreneur in you through beauty, style and charm. Simply put, LisaRaye’s goal is to accent your beauty and or assist you in achieving the look and style that makes YOU famous!

Glamour Exotic Hair Extensions also allows for you to purchase retail for yourself while also wholesale providing you with the opportunity to offer your friends, family discounts while you Make Money Now! Even if you don’t wear extensions many around you do so why not provide them with the opportunity to purchase for you.

Our motto’s is “Put Your Hair To Work……. “.",2144025599,www.lisarayehair.com,1,18,Atlanta,GA,"United States",,,,,,,2012,No,,Yes
131,Dolphin,Organics,"Dolphin Organics",dolphin-organics,qweenscd@gmail.com222,"    My wife and I made the switch to organic in 1998. We shopped at Whole Foods, bought only organic and local products, and thought we were taking great care of ourselves. But then, in 2010, my father died of cancer. Which was shocking since he was a lifelong farmer who ate only what he grew. Our question was why? It made us think very critically about our lifestyle and what we could do to be even healthier. We quickly realized that while everything we were Nigel\\\'s Father putting in our bodies was safe and natural, the same could not be said for what we were putting on our bodies.",2147483647,http://dolphinorganics.com/,1,4,"Pound Ridge",NY,"United States",,,,,,,0,No,,No
132,Light,Mountain,"Light Mountain Natural Hair Color",light-mountain-natural-hair-color,2w3e4r5t@gmail.comp,"The premier natural hair color and conditioner product line. Choose from our original line with the famous \"henna animals\" in 12 shades, or our unique Color the Gray line with 8 shades. We use no chemicals and no synthetic ingredients, only pure premium henna and other botanicals. We have been blending henna based natural hair colors since the early 1980\'s and are the leading totally natural line in the natural products industry. ",2147483647,http://www.light-mountain-hair-color.com/,1,6,Norway,IA,"United States",,,,,,,0,No,,No
133,"One ",Love,"One Love Organics",one-love-organics,theuicn6457384@gmail.com,"   We created One Love Organics to offer a simpler approach to beauty: a sensitive yet effective alternative to all those ubiquitous bottles and the mysterious stuff they contain. Our plant based formulas are  designed to nourish and balance all skin types—so they’re perfect for everyone.
Because beauty is not in the bottle. It’s in the heart.",912,http://www.oneloveorganics.com,1,8,"St. Simons Island",GA,"United States",,,,,,,0,No,,No
134,Hollybeth,Organics,"Hollybeth Organics",hollybeth-organics,fjas;djoinbgf@gmail.com5,"  HollyBeth Organics began as a hobby as HollyBeth was traveling the globe. After 50 countries, 50 years and an epiphany, she decided to put her passion to the test and create HollyBeth Organics, a USDA certified organic skin care line. HollyBeth grew up walking in the woods in North Georgia with her Grandmother who was well versed in plants and their medicinal properties. While living in France, she was introduced to essential oils and organic skincare and living in Latin America, she learned the curative powers of herbs from local healers. ",2147483647,http://www.hollybethorganics.com/,1,8,Atlanta,GA,"United States",,,,,,,0,No,,No
136,Amy,Ludwigson,"Tint and Tonic",tint-and-tonic,12341@wesdgmai.cc,"  Started by sisters Ashley & Lisa (artist and alchemist) Phelps-Cassan, Tint & Tonic\'s line of bold, vibrant face paints and cosmetics are made with exotic, nourishing ingredients like vanilla and licorice powders, turmeric, annatto, and essential oils. 
Ashley is the founder of Glob botanical paints, which was developed out of her need for chemical-free art supplies, due to skin sensitivities.
Combined with sister Lisa\'s love for essential oils, and making her own salves and skin remedies, the sisters decided to join forces and develop natural and nourishing creative body products.",123456678,http://tintandtonic.com/,1,4,Bend,OR,"United States",,,,,,,0,No,,No
137,Logona,Logona,"Logona Cosmetics",logona-cosmetics,12wdvase@adnd.com," Manufacturing personal care products without synthetic preservatives requires especially careful procedures to handle both raw materials and finished products. Only the slightest contamination can ruin an entire production run. LOGONA utilizes GMP (Good Manufacturing Practice), the pharmaceutical production standard, to guide its manufacturing. In spring of 1999, LOGONA successfully completed an \\\"Environmental Audit\\\" of its entire operation, conducted under mandate of the German federal government.",262,http://www.logona-usa.com/,1,20,"Silver Lake",WA,"United States",,,,,,,0,No,,No
138,Sante,Sante,Sante,sante,1231W33@DKDHMC,"   SANTE is making new market statements, with innovative products based on currently popular active ingredients that are at the forefront of research and development, while at the same time remaining true to the ecological principles of the brand. The eye-catching \\\"eco-glamour\\\" design is placing the focus strongly on these ecological aspects, while at the same time presenting SANTE as a youthful and modern brand. SANTE products deliver the same product quality than much higher priced competitors. Almost all products are dual certified to meet the stringent natural standards of both NaTrue and BDIH.",262,http://www.sante-usa.com,1,13,"Silver Lake",WA,"United States",,,,,,,0,No,,No
139,"Brandy ",Brogdon,"Simply Pure",simply-pure,123DEWOFHSALIKJK,"Hi, I\'m Brandy Brogdon Owner of Simply Pure Products.  My background has been in the fitness industry for over 13 years. With this experience I have learned a lot about what you put in your body and on.... Having researched all natural supplements, exercise and healthy living, I have discovered it is just as important what you put on your body. Soaps, lotions, cosmetics and hair care products are absorbed through your skin. Would you feel safe ingesting your skin care and cosmetics? Simply Pure Products can be ingested! (however may not taste that great) ",123456,https://www.simplypureproducts.com,1,12,Warrenton,VA,"United States",,,,,,,0,No,,No
140,Nancy,Lidell,"Bayberry Naturals",bayberry-naturals,pjfkidrjhdeij,"I started Bayberry Naturals because I saw a need for a 100% all-natural skin and hair care products line for the whole family. As a new mom of twins, I made the decision to try to eliminate unnecessary exposure to chemicals and toxins in our household wherever possible.
I began investigating the labels of all of the shampoos, conditioners, lotions, and soaps in our house and was astounded by what I found. Every single product contained artificial and controversial ingredients. These are things we simply do not need to be exposing ourselves to - especially every day - when we are just trying to bathe and moisturize.",123456,http://www.bayberrynaturals.com,1,8,Stamford,CT,"United States",,,,,,,0,No,,No
141,Wayne,Perry,Greensations,greensations,qakmcbjsdhg," Our health and beauty products were developed to give consumers natural alternatives for total body health. Our brands cover a variety of popular health and beauty categories.
We are a family run American business that proudly makes our products in small batches with the best natural and organic ingredients. Our components and ingredients are sourced in the United States, and we\\\'re proud to offer our customers the best natural health alternatives at prices everyone can afford.",12345678,http://www.greensations.com/,1,1,Scotia,NY,"United States",,,,,,,0,No,,No
142,Rebecca,Roman,"Maple Hill Naturals",maple-hill-naturals,sad.fkngjkujdfjgdkd,"At Maple Hill Naturals we also realize that there are no cutting corners when it comes to what we put on our bodies.  All our natural hand crafted soaps are made using the old world “cold processing” technique.  No heat or chemicals are added producing a bar rich in natural glycerin and luxurious natural oils.  Our soaps leave your skin moisturized and feeling great all day long.  Our natural soaps are gentle enough for the most sensitive of skin and soothing enough for the driest.  We bring this same philosophy to all our hand crafted skin care products as we continue to innovate new products.",123456,http://maplehillnaturals.com/,1,6,Lafayette,IN,"United States",,,,,,,0,No,,No
143,Kristen,Conner,"Flourish Natural",flourish-natural,;lkjnadf;nbvklnadfv,"     Flourish began back in 2004 in a little soap shop, in a little town in Vermont. Having taught herself the art of making handmade olive oil-based soaps, Kirsten opened the shop. Some great soaps were already being made in Vermont, but there was no store dedicated to a broad range of soaps made by one person and all sold in one place. The soaps, which came in an extensive array of scents and colors, became incredibly popular. Customers would discover a favorite and then request the same scent in a lotion or a crème or a perfume. To meet customer requests, Kirsten researched every ingredient and method to make these new products, while staying true to the philosophy of handmade, pure, and natural.",123456,http://flourishbodycare.com/,1,8,Woodstock,VT,"United States",,,,,,,0,No,,No
144,Mariam,Masaro,"WiseWays Natural",wiseways-natural,a;lksdnhffdja`,"All of our formulas were created by Mariam Massaro, herbalist with over 40 years of experience in herbology, women\'s health Earth-based ceremonies, midwifery, and organic gardening. She also cofounded Blazing Star Herbal School with Gail Ulrich. She started WiseWays Herbals, a line of natural body care and medicinal products, in her farmhouse kitchen in Western Massachusetts in 1988. Her vision was to create a successful herbal business dedicated to serving humanity by providing natural products for well-being. Using only wild-crafted or organically grown herbs, the medicinal herbal and body care formulas help restore the connection between nature, the body and the soul.",123456789,http://www.wiseways.com/,1,8,Worthington,ME,"United States",,,,,,,0,No,,No
145,erba,organics,Erbaorganics,erbaorganics,a;odsnkf;ljnasdf," Erbaorganics was born out of a desire to make available the purest eco-friendly organic skincare to those who need it most: mommys-to-be and babies. Concerned over the chemicals used in traditional skincare, husband and wife Robin Brown and Anna Cirronis started making organic products when they had their first son. They soon realized that others were just as concerned about the harmful chemicals in mother and baby products. Erbaorganics is an effective high quality organic alternative to many products on the market still using harmful ingredients. Erbaorganics is proud to launch a full line of mother and baby products as high in organic ingredients as is possible to make, with food grade preservatives and organic anti-oxidants.",0,http://www.erbaorganics.com/,1,1,unknown,AL,"United States",,,,,,,0,No,,No
146,Kathy,Garber,"Mountain Meadow",mountain-meadow,"a/d;fjnv\'aojndsf","In a perfect marriage of science and nature, the beneficial properties of more than 200 organically grown herbs, their roots, leaves and bark are coaxed into a pure extracting medium using less than 10% alcohol.
It all happens in a pristine Montana valley, with the majestic Rocky Mountains to the east and the shimmering Flathead lake due south. Here in a quiet meadow sits our state of the art GMP certified and FDA inspected facility, where extreme attention to detail brings you amazing, potent, liquid extracts you can use with confidence.",2147483647,,1,4,,AL,"United States",,,,,,,0,No,,No
147,Silvia,Malena,"Tierra Mia Organics",tierra-mia-organics,s;fglkjn;aonosjdf,"  Tierra Mia Organics started with my single intention of making natural healthy products, unadulterated by synthetic chemicals and with healthy ingredients. So I\'ve combined my love for natural goods and my skin care knowledge to offer these raw goat milk products to people, who like me, truly want unadulterated natural products, and want to take care of themselves in the healthiest way.",1234567,,1,1,Alameda,CA,"United States",,,,,,,0,No,,No
148,"Happy Farms",Botanicals,"Happy Farm Botanicals",happy-farm-botanicals,a;lkdsnf;lakjnsdfllknj,"We believe in nurturing our Earth, your skin, and the ones you love.
We go to great lengths to find high quality items, by working with companies with strict standards and principles in line with ours, and also by encouraging sustainable business practices. Our products are born from a genuine care in the environment and the skin we live in.

Happy Farm Botanicals product line is naturally safe for everyone.",9,http://www.happyfarmbotanicals.com/,1,1,Odenton,MD,"United States",,,,,,,0,No,,No
149,Valley,Green,"Valley Green Naturals",valley-green-naturals,";aqsdokfa;okndf\'akdnsf","At Valley Green Naturals, our goal is simple: we  make products that are effective, body-safe, eco-friendly, and affordable.  And we believe that educating consumers about product ingredients and safety is essential to healthier living.  We also believe that the days of “real customer service” have fallen by the wayside.  Customer satisfaction in every aspect of our business is very important to us.  From the creation of the product, to the information and marketing we provide; the resulting sale to you, our customer, and your ultimate use of the product, we want you to be 110% pleased.  If you are not, we want to hear about it, and we will work to make things right.",2147483647,,1,5,Amissville,VA,"United States",,,,,,,0,No,,No
150,Desert,Essence,"Desert Essence",desert-essence,",jhvmhtdrfbeajuhui","  Few things are more beautiful than peace of mind, body, and spirit. Inspired by the nature around us and the lifestyles of those who embrace it,
Desert Essence was founded in 1978 to bring the best of nature’s offerings to personal care regimens everywhere. Inspired by the desert and
all that it has to offer, we became the first company to market Jojoba Oil. We then went on to introduce Tea Tree Oil to the US market.",800645,https://www.desertessence.com,1,21,Hauppauge,NY,"United States",,,,,,,0,No,,No
151,Bio,Select,BioSelect,bioselect,tyfkyjtckytgcky,1,0,http://bioselect-us.com/,1,4,Huntersville,NC,"United States",,,,,,,0,No,,No
152,"David ",Rzepka,Beecology,beecology,;aqoefg;aoqnbdf;aojsdnf,"We at Beecology believe you shouldn\'t have to choose between beautiful hair and harmless hair care products; we know that\'s what\'s in sulfate-free shampoos and conditioners is just as important as what isn\'t. Our sulfate-free shampoo and conditioner contains honey from our own hive and a blend of gentle cleansing, revitalizing, and moisturizing botanicals that leave your hair looking and feeling its touchable best. Because we use effective natural ingredients, we don\'t need to add harsh chemicals like SLS, DEA, and TEA that are found in many conventional shampoos and conditioners.",0,http://www.beecology.com/,1,2,Cleveland,OH,"United States",,,,,,,0,No,,No
153,Shelly,,"Amazing Botanicals",amazing-botanicals,a;sdjfnb;oajnfds,1,74152364,http://www.amazingbotanicals.bigcartel.com,1,5,unknown,AL,"United States",,,,,,,0,No,,No
154,Deana,,"Nittany Valley Organics",nittany-valley-organics,ISUDHF;Iusdhbf;iuob,"The idea of this company was born out of my own need to find products that didn’t have ingredients with names that I couldn’t pronounce. I had always taken care of myself by eating right, taking vitamin/mineral supplements and exercising but somehow my body was still breaking down. I searched for the reasons why this was happening and read about the many chemicals that are in the everyday products that we use. I tried to find products that didn’t have any parabens in them, it was almost impossible. The more I look at ingredients, the more I found strange names that had me running to the computer to look up what they were and what they could do to my body. I didn’t want products containing petroleum by-products, do you know how many things are made from petroleum based products that we use on our bodies? (Ok, your turn to run to the computer.) ",1231231232,http://www.nittanyvalleyorganics.com/,1,4,"State College",PA,"United States",,,,,,,0,No,,No
155,"Wayne and Julie",,"Whispering Willow",whispering-willow,;aodsifnj;oisndf," Whispering Willow is made up of a husband/wife team - Wayne & Julia.  We are both committed to natural and sustainable living.  As a step in that direction, we started a natural bath and beauty company.  ",828,http://www.whisperingwillow.net/,1,4,Highlands,NC,"United States",,,,,,,0,No,,No
